number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
77,0.7718671060043191,2026-06-16 11:15:12.500674,2026-06-16 11:15:19.967958,0 days 00:00:07.467284,0.5056596669260865,0.5212112096018517,0.004768080136107972,12,3,929,1.814522215082677e-07,0.0002359961531486609,0.7488573047501881,COMPLETE
78,0.7634397700346974,2026-06-16 11:15:19.970773,2026-06-16 11:15:31.558065,0 days 00:00:11.587292,0.53650066486997,0.16140232108356672,0.002778392790172063,12,3,889,1.2938205108324907e-06,0.0006707209776340209,0.7112792673325802,COMPLETE
79,0.77398195444636,2026-06-16 11:15:31.561082,2026-06-16 11:15:37.222294,0 days 00:00:05.661212,0.5000875065790071,0.6275919163635786,0.006704929422846707,12,4,938,2.470127057485269e-07,3.9877047469849514e-05,0.7411919393895807,COMPLETE
80,0.7744401542041285,2026-06-16 11:15:37.225227,2026-06-16 11:15:44.983934,0 days 00:00:07.758707,0.5630110604514582,0.15308555145540126,0.006732181282531953,11,4,1024,2.248743565450888e-08,3.6510813239010036e-05,0.6855379290367203,COMPLETE
81,0.7724655938196434,2026-06-16 11:15:44.986800,2026-06-16 11:15:50.445022,0 days 00:00:05.458222,0.5592689513988252,0.7157536978709325,0.00718147548142272,11,4,1025,3.128203195666903e-08,3.941322111967011e-05,0.6885710627740164,COMPLETE
82,0.7719975191816157,2026-06-16 11:15:50.446063,2026-06-16 11:16:00.152649,0 days 00:00:09.706586,0.5009456640697575,0.1680178799001729,0.0036782602359637672,11,4,946,1.741098212515414e-08,1.6155091540577304e-05,0.7702101617555334,COMPLETE
83,0.774064442116619,2026-06-16 11:16:00.155197,2026-06-16 11:16:07.537417,0 days 00:00:07.382220,0.5651081392885939,0.37498682197486277,0.006547693448445144,12,4,1093,1.0614622588467266e-08,3.815753697388809e-06,0.7234995483863731,COMPLETE
84,0.7752758237384985,2026-06-16 11:16:07.540290,2026-06-16 11:16:14.615311,0 days 00:00:07.075021,0.5411135602964835,0.3373447723586423,0.006483617751589567,11,4,1065,2.209664790868345e-08,4.697371727409262e-06,0.7244101868969905,COMPLETE
85,0.7733040693807883,2026-06-16 11:16:14.618418,2026-06-16 11:16:21.540598,0 days 00:00:06.922180,0.564678918092742,0.291438378270679,0.008475185628942566,11,5,1185,1.1414882027044479e-08,3.585932378778264e-06,0.7312198989731037,COMPLETE
86,0.7740038927720041,2026-06-16 11:16:21.544048,2026-06-16 11:16:27.180577,0 days 00:00:05.636529,0.5434196572417015,0.397416067838972,0.010526656262524765,11,4,1121,5.0445491389826546e-08,7.671674959442788e-07,0.6939347703840458,COMPLETE
87,0.7714047871663336,2026-06-16 11:16:27.183754,2026-06-16 11:16:38.192036,0 days 00:00:11.008282,0.5325770710980533,0.12857884329287012,0.0031709589039808908,11,5,1132,2.4606019724902686e-08,2.353178523361512e-05,0.707856774024902,COMPLETE
88,0.7737788785284969,2026-06-16 11:16:38.194838,2026-06-16 11:16:46.714461,0 days 00:00:08.519623,0.5681633206155502,0.3391146837357343,0.004265806896939472,11,4,1009,1.0063379632125294e-08,4.007685966220286e-06,0.6754050327814607,COMPLETE
89,0.7712636488023341,2026-06-16 11:16:46.717377,2026-06-16 11:16:52.758159,0 days 00:00:06.040782,0.5236546127816145,0.7601315119521677,0.006148290155479618,11,3,1042,8.69185866568434e-08,8.602252404974659e-06,0.7673837979848037,COMPLETE
90,0.7682397344884164,2026-06-16 11:16:52.761003,2026-06-16 11:16:59.686058,0 days 00:00:06.925055,0.6097880509647599,0.40861164284783136,0.007602809684483451,12,2,1067,2.196059883911986e-08,0.00012997965051101613,0.7907812304791463,COMPLETE
91,0.7732394576243626,2026-06-16 11:16:59.689178,2026-06-16 11:17:06.759199,0 days 00:00:07.070021,0.544702293400841,0.12626081043451687,0.01046229587962835,11,4,1125,4.746900782087741e-08,1.2398490268015207e-06,0.6904558796075367,COMPLETE
92,0.7738967076274692,2026-06-16 11:17:06.763406,2026-06-16 11:17:14.178472,0 days 00:00:07.415066,0.5301073226522318,0.4015760673731368,0.005846110660018684,11,5,1114,6.938592001658473e-08,1.3690410982655346e-05,0.7228542423037841,COMPLETE
93,0.772671277112388,2026-06-16 11:17:14.181341,2026-06-16 11:17:21.439090,0 days 00:00:07.257749,0.5436148014981925,0.0008411178418093468,0.010733531468929887,11,3,882,5.0640545474480666e-08,6.024167260088631e-07,0.7333422693107499,COMPLETE
94,0.7731259105133492,2026-06-16 11:17:21.440257,2026-06-16 11:17:26.725280,0 days 00:00:05.285023,0.5593129150753978,0.6579017329695578,0.009299927255630802,12,4,1161,1.7302734558048342e-08,0.0006215839175246702,0.7041650465747051,COMPLETE
95,0.775935834472347,2026-06-16 11:17:26.728160,2026-06-16 11:17:34.314190,0 days 00:00:07.586030,0.5137110324735935,0.23544198292825275,0.006735271088169075,11,3,1093,6.223634731259061e-07,2.518570298794569e-07,0.678961924499456,COMPLETE
96,0.7757166441582953,2026-06-16 11:17:34.317113,2026-06-16 11:17:42.069641,0 days 00:00:07.752528,0.5125598748176416,0.24795622966770586,0.006853371188989408,12,3,1093,6.664075196365463e-07,0.00018580667814306566,0.679344454137829,COMPLETE
97,0.7709904906507516,2026-06-16 11:17:42.072452,2026-06-16 11:17:50.109184,0 days 00:00:08.036732,0.5831931463223731,0.222333443524841,0.004193293754630397,10,3,867,6.388971228241285e-07,7.930358904301245e-08,0.6767934334151957,COMPLETE
98,0.7741296144333526,2026-06-16 11:17:50.110544,2026-06-16 11:17:58.163397,0 days 00:00:08.052853,0.5117466699014023,0.1151590040789614,0.007178478133985472,11,2,963,3.175309067267132e-07,1.5749078200964757e-08,0.6682368646040079,COMPLETE
99,0.7756767675906799,2026-06-16 11:17:58.166236,2026-06-16 11:18:07.109426,0 days 00:00:08.943190,0.5160284046844817,0.12700452518683056,0.005482149931106876,11,2,959,3.56940167160219e-07,2.2928614198207863e-08,0.6388968593936585,COMPLETE
